dataset,reader,K,condition,score_display,std_display,nrr_display,source,provenance_class
FeTaQA,claude-haiku-4-5,40,soft,0.730,0.025,0.824,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,40,bge_m3,0.552,0.027,1.396,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,50,hard,0.637,0.024,0.719,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,50,soft,0.729,0.024,0.822,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,50,bge_m3,0.544,0.020,1.375,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,1,hard,0.677,0.006,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,1,soft,0.677,0.006,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,1,bge_m3,0.308,0.003,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,5,hard,0.537,0.005,0.792,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-oss-20b,5,soft,0.661,0.005,0.976,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
